id,sg_uf,de_ramo,setor,nm_divisao,nm_segmento,de_nivel_atividade,nm_meso_regiao,nm_micro_regiao,de_faixa_faturamento_estimado,idade_empresa_anos,de_natureza_juridica,fl_me,fl_sa,fl_epp,fl_mei,fl_ltda,qt_filiais
a6984c3ae395090e3bee8ad63c3758b110de096d5d819583a784a113726db849,RN,INDUSTRIA DA CONSTRUCAO,CONSTRUÇÃO CIVIL,CONSTRUCAO DE EDIFICIOS,CONSTRUCAO,ALTA,LESTE POTIGUAR,NATAL,"DE R$ 1.500.000,01 A R$ 4.800.000,00",5,SOCIEDADE EMPRESARIA LIMITADA,False,False,False,False,False,0
6178f41ade1365e44bc2c46654c2c8c0eaae27dcb476c47fdef50b33f4f56f05,PI,SERVICOS DE ALOJAMENTO/ALIMENTACAO,SERVIÇO,ALIMENTACAO,ALOJAMENTO E ALIMENTACAO,BAIXA,CENTRO NORTE PIAUIENSE,TERESINA,"DE R$ 81.000,01 A R$ 360.000,00",6,EMPRESARIO INDIVIDUAL,False,False,False,True,False,0
4a7e5069a397f12fdd7fd57111d6dc5d3ba558958efc02edc5147bc2a2535b08,AM,"TRANSPORTE, ARMAZENAGEM E CORREIO",SERVIÇO,TRANSPORTE TERRESTRE,TRANSPORTE ARMAZENAGEM E CORREIO,MEDIA,CENTRO AMAZONENSE,MANAUS,"ATE R$ 81.000,00",7,EMPRESARIO INDIVIDUAL,False,False,False,True,False,0
3348900fe63216a439d2e5238c79ddd46ede454df7b9d8c24ac33eb21d4b21ef,AM,SERVICOS DIVERSOS,SERVIÇO,REPARACAO E MANUTENCAO DE EQUIPAMENTOS DE INFORMATICA E COMUNICACAO E DE OBJETOS PESSOAIS E DOMESTICOS,OUTRAS ATIVIDADES DE SERVICOS,MEDIA,CENTRO AMAZONENSE,MANAUS,"DE R$ 81.000,01 A R$ 360.000,00",8,EMPRESARIO INDIVIDUAL,False,False,False,False,False,0
1f9bcabc9d3173c1fe769899e4fac14b053037b953a1e4b102c769f7611ab29f,RN,"SERVICOS PROFISSIONAIS, TECNICOS E CIENTIFICOS",SERVIÇO,SERVICOS DE ARQUITETURA E ENGENHARIA TESTES E ANALISES TECNICAS,ATIVIDADES PROFISSIONAIS CIENTIFICAS E TECNICAS,ALTA,LESTE POTIGUAR,NATAL,"DE R$ 81.000,01 A R$ 360.000,00",9,EMPRESARIO INDIVIDUAL,False,False,False,False,False,0
529a1f5fc6f88071db7d38492a0ce7c985c77e9b1c3bb62f5bd2ebec4860a392,RN,QUIMICA-PETROQUIMICA,INDUSTRIA,FABRICACAO DE PRODUTOS DE MINERAIS NAO METALICOS,INDUSTRIAS DE TRANSFORMACAO,ALTA,OESTE POTIGUAR,PAU DOS FERROS,"DE R$ 81.000,01 A R$ 360.000,00",10,SOCIEDADE EMPRESARIA LIMITADA,False,False,False,False,False,0
8bf37c178778e537b108e58bf20552abe10c3a7fae129b04b52506188e7176da,MA,"TRANSPORTE, ARMAZENAGEM E CORREIO",SERVIÇO,TRANSPORTE TERRESTRE,TRANSPORTE ARMAZENAGEM E CORREIO,MEDIA,NORTE MARANHENSE,AGLOMERACAO URBANA DE SAO LUIS,"ATE R$ 81.000,00",11,EMPRESARIO INDIVIDUAL,False,False,False,True,False,0
0114fd3fbdc347c561843cde6aece12e8e53cb5d32c77dd2d5cb382605b7be79,RN,SERVICOS ADMINISTRATIVOS,SERVIÇO,AGENCIAS DE VIAGENS OPERADORES TURISTICOS E SERVICOS DE RESERVAS,ATIVIDADES ADMINISTRATIVAS E SERVICOS COMPLEMENTARES,ALTA,LESTE POTIGUAR,NATAL,,12,EMPRESARIO INDIVIDUAL,False,False,False,True,False,0
6c45aabb849a760a3a7107c7a61262642f683feb8912a41a859f69fe4ce02b1c,AM,BENS DE CONSUMO,INDUSTRIA,FABRICACAO DE PRODUTOS DIVERSOS,INDUSTRIAS DE TRANSFORMACAO,ALTA,CENTRO AMAZONENSE,PARINTINS,"DE R$ 81.000,01 A R$ 360.000,00",13,COOPERATIVA,False,False,False,False,False,0
2fcd678d71b04ccb77644fff57706bdc7fcfbbec6b19267e6600f46121b726e8,RN,COMERCIO VAREJISTA,COMERCIO,COMERCIO VAREJISTA,COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,MEDIA,OESTE POTIGUAR,MOSSORO,"DE R$ 81.000,01 A R$ 360.000,00",14,EMPRESARIO INDIVIDUAL,False,False,False,False,False,3
